EXPECTED_START_DATE,GRADUATION_DATE,ENROLL_COUNT,NUMBER_AVERAGE,MINUTES_ATTENDED,HOURS_ATTEMPTED,HOURS_EARNED,AR_BALANCE_AMOUNT,MINUTES_ABSENT,DAYS_ABSENT,MINUTES_MAKEUP,REENTRY_NUMBER,PROGRAM_GROUP,BIRTH_DATE,LAST_ACTIVITY_DATE,MOD_NUMBER,COHORT_YEAR,CUMMULATIVE_GPA,CUMMULATIVE_GPA_POINTS,CUMMULATIVE_GPA_CREDITS,AR_BALANCE,ENROLLMENT_GPA,CREDITS_ATTEMPTED,CREDITS_EARNED,CREDITS_REQUIRED,CREDITS_LEFT,ENROLLMENT_COUNT,MODS_ATTENDED_COUNT,HS_GRADUATED_FLAG,DISABLED_FLAG,HISPANIC_FLAG,VETERAN_FLAG,STATUS_DESCRIPTION,IN_SCHOOL_FLAG,SIMPLE_STATUS_DESCRIPTION
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,2/8/2016,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,HSHIB,11/7/1961,10/10/2014,11,2020,,,,0,0,0,0,180,180,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBAM,1/4/1987,2/25/2015,1,2017,0,,,0,0,0,0,60,60,3,0,0,0,1,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBAB,8/3/1981,3/20/2015,5,2019,0,0,0,0,0,0,0,182,182,2,1,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,,7/25/2014,9,2017,,,,0,0,0,0,97,97,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,8/5/1984,5/5/2015,5,2018,,,,0,0,0,0,97,97,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,HSHMB,12/31/1973,7/10/2015,7,2021,0,,,0,0,0,0,180,180,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,10/3/2016,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,3/30/2018,1,0,,0,0,0,,0,,0,HSHMB,4/25/1980,5/15/2015,5,2020,0,,,0,0,0,0,180,180,3,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,1/17/2021,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,3/17/1976,9/16/2014,10,2017,,,,0,0,0,0,97,97,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,8/23/1980,3/27/2015,12,2015,0,0,0,0,0,0,0,97,97,2,1,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,7/17/2022,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,11/11/1978,5/1/2015,5,2020,,,,0,0,0,0,180,180,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,GAGAA,9/27/1995,10/13/2014,11,2018,,,,0,0,0,0,99.5,99.5,2,0,0,0,1,0,Applicant,0,Other
,7/17/2022,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,12/26/2016,1,0,,0,0,0,,0,,0,GAGAA,12/23/1991,11/18/2015,5,2018,0,,,0,0,0,0,99.5,99.5,2,0,0,0,0,0,Application Cancelled,0,Other
,7/25/2016,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,zRe-Apply,0,Unknown
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,7/7/2017,1,0,,0,0,0,,0,,0,MSMSA,11/12/1995,9/16/2015,10,2019,0,,,0,0,0,0,90.5,90.5,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,GAGAA,10/18/1995,3/17/2015,3,2018,,,,0,0,0,0,99.5,99.5,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,GAGAA,6/27/1996,7/8/2015,7,2018,0,,,0,0,0,0,99.5,99.5,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,8/28/1966,2/17/2021,12,2017,0,,,0,0,0,0,97,97,3,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,11/16/1989,,7,2016,0,0,0,0,0,0,0,97,97,2,1,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,,,13,2018,,,,0,0,0,0,97,97,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,7/8/1981,2/20/2015,3,2020,,,,0,0,0,0,180,180,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,11/11/2018,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,9/29/1975,5/12/2015,5,2018,,,,0,0,0,0,97,97,3,0,0,0,1,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,9/9/1993,2/25/2015,3,2020,,,,0,0,0,0,180,180,2,0,0,0,0,1,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,4/3/1969,,2,2019,0,,,0,0,0,0,97,97,2,0,0,0,0,0,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,11/28/2016,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,MSMSA,1/29/1980,11/26/2014,12,2018,0,0,0,0,0,0,0,90.5,90.5,2,1,0,0,0,0,Application Cancelled,0,Other
,12/9/2018,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,8/16/1980,,10,2019,0,,,0,0,0,0,97,97,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,GAGAB,3/17/1972,10/28/2014,12,2020,,,,0,0,0,0,183,183,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,9/29/1975,5/12/2015,5,2018,,,,0,0,0,0,97,97,3,0,0,0,1,0,zRe-Apply,0,Unknown
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,GAGAA,7/3/1993,7/22/2014,8,2017,,,,0,0,0,0,99.5,99.5,2,0,0,0,0,0,Applicant,0,Other
,8/21/2017,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,9/7/1994,1/19/2015,1,2018,,,,0,0,0,0,97,97,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,HSHMB,1/21/1979,6/27/2015,7,2021,0,,,0,0,0,0,180,180,2,0,0,0,1,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,MSMSA,10/17/1973,6/19/2014,7,2017,,,,0,0,0,0,90.5,90.5,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,11/17/1967,3/26/2015,4,2020,,,,0,0,0,0,180,180,3,0,0,0,0,0,zRe-Apply,0,Unknown
,,1,0,,0,0,0,,0,,0,GAGAA,1/6/1991,,7,2017,,,,0,0,0,0,99.5,99.5,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,3/30/1986,1/16/2015,1,2020,,,,0,0,0,0,180,180,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,7/11/1980,4/3/2015,4,2020,,,,0,0,0,0,180,180,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,MSMSA,9/24/1988,11/4/2015,11,2019,0,,,0,0,0,0,90.5,90.5,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,CSCS,3/2/1971,,12,2017,0,0,0,0,0,0,0,180,180,2,1,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,9/19/1978,6/4/2015,6,2018,,,,0,0,0,0,97,97,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,,12/31/2014,1,2020,,,,0,0,0,0,180,180,2,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBAB,2/21/1968,12/8/2015,8,2020,0,,,0,0,0,0,182,182,2,0,0,0,0,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,1/2/1969,4/21/2015,5,2020,,,,0,0,0,0,180,180,3,0,0,0,0,0,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,,12/30/1962,,5,,,,,0,0,0,0,,,2,0,0,0,0,0,Applicant,0,Other
,5/24/2020,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,11/13/2017,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,7/25/2016,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Application Cancelled,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,BUBMA,3/6/1980,,4,2018,0,,,0,0,0,0,97,97,4,0,0,0,1,0,Applicant,0,Other
,,1,0,,0,0,0,,0,,0,unknown,,,,,,,,,,,,,,,,,,,,Pending Applicant - Portal Only,0,Other
,,1,0,,0,0,0,,0,,0,CSCSB,11/12/1982,3/9/2015,3,2020,,,,0,0,0,0,180,180,2,0,0,0,0,0,Applicant,0,Other
